NNT,NumSujet,Auteurs,Titre FR,Titre EN,Directeurs,Discipline,Date de soutenance,Date de première inscription,Etablissement de soutenance,Code etablissement,Etablissement de cotutelle,Ecoles doctorales,Partenaires de recherche,Président du jury,Rapporteurs,Examinateurs,Mots clés FR,Mots clés EN,Langue,Source,Statut,Accessible,Abstract_EN
2016SACLV048,,"Hoang, Van Tuan (196767288)",L'enseignement supérieur en Indochine (1902-1945),Higher education in Indochina (1902-1945),"Mollier, Jean-Yves (027033732)","Histoire, histoire de l'art et archéologie",05/09/2016,,Université Paris-Saclay (ComUE) (188120777),SACL,,"École doctorale Sciences de l'Homme et de la société (Sceaux, Hauts-de-Seine ; 2015-2020) (188168567)","Centre d'histoire culturelle des sociétés contemporaines (Guyancourt, Yvelines ; 1998-....) (085808881), Université de Versailles-Saint-Quentin-en-Yvelines (1991-....) (03082057X)","Poisson, Emmanuel (066823773)","Brocheux, Pierre (033569479)","Brocheux, Pierre (033569479) || Yon, Jean-Claude (034425969) || Trinh, Van Thao (027169502) || Cantier, Jacques (058930655)",1900-1945 || Vie intellectuelle || Colonies françaises -- Asie || 20e siècle || Indochine || Étude et enseignement || Hanoi (Viet-Nam) || Universités || Indochine française || Enseignement supérieur || Enseignement || Enseignement supérieur || Indochine || Vietnam || Université indochinoise || Université de Hanoi,Education || Higher education || Indochina || Vietnam || Indochinese university || University of Hanoi,fr,star,soutenue,non,"Title : Higher education in Indochina (1902-1945)  Keywords: Education, higher education, Indochinese university, university of Hanoi, colleges, Vietnam, Indochina.       Abstract : The higher education in Indochina in the French colonial period was highlighted by the creation of the School of Medecine of Hanoi in 1902 and by the creation of an Indochinese university in 1906. It was a temporary  mesure as well as a political. Paul Beau created the Indochinese university in response to changing situation in the Far East and to match the requirement of indigenous people. From Albert Sarraut’s reform in 1917 onward, the higher education became an official part of the system of education in Indochina. The Indochinese university was reorganized and several colleges were created and trained people in almost every domains to meet the development of the country: the medicine, the law, the fine arts, the business, the agriculture and the forestry, the public works and the pedagogy. Until 1945, the system of higher education in Indochina was very well organized and offered a rather complete. Hanoi became an educational center in the whole French colonial empire. The Indochinese university, despite its limits about the quantity and the quality of lessons proposed, participated in the development of the Indochinese peninsula’s countries, during the colonial era and after independence the three countries. It was the only university dedicated to the native students in all the French colonial empire. The Indochinese university is considered as one of the most important works of the French colonialism in Indochina."
2007POIT2291,,"Nguyen, Quang-Trung (119419696)",Dégradation photocatalytique du diclofenac et du sulcotrione en solution aqueuse,,"Legube, Bernard (079960375) || Mazellier, Patrick (079984193) || Nguyen, The Dung (119420147)",Chimie et microbiologie de l'eau,01/01/2007,,Poitiers (026403765),POIT,,"École doctorale Ingénierie chimique, biologique et géologique (Poitiers2000-2008) (058711791)","Université de Poitiers. UFR des sciences fondamentales et appliquées (1896-....) (058570993), École nationale supérieure d'ingénieurs (Poitiers ; 1984-....) (033751633)",,,,Herbicides || Médicaments || Eau -- Épuration || Photocatalyse,,fr,sudoc,soutenue,non,
2020NANT3023,,"Nguyen, Ngoc Minh (255062222)",Essays on Social Capital and Economic Development : a Multidimensional Approach,Essays on Social Capital and Economic Development : a Multidimensional Approach,"Vallée, Thomas (166064939) || Richefort, Lionel (132727773)",Économie publique,15/12/2020,,Nantes (026403447),NANT,,École doctorale Sciences économiques et sciences de gestion (Rennes) (204771242),Nantes Université. IAE Nantes – Institut d’Economie et de Management (070571791),"Sévi, Benoît (16986085X)","Allouch, Nizar (231919441) || Carayol, Nicolas (059775874)","Casadella, Vanessa (09926577X)",Groupes sociaux || Vietnam || Entreprises || Capital social (droit commercial) || ...,,en,star,soutenue,oui,"My thesis analyses social capital, its sources and its role in economic development using a multidimensional approach. First, considering social groups as an essential source of social capital in modern societies, we analyze the inter-linkages of social groups to understand how social capital is allocated among people in society. The existence of two decisive types of agents, the grand star and the mini stars, allow all social groups in a community to be efficiently connected in equilibrium under specific conditions. Second, we theoretically put social capital side by side with physical capital and human capital into a model of firm growth and find out that social capital is a metaphor rather than a real form of capital. Firms can use social capital to facilitate their activities but its efficiency depends on both the level of initial investment and the magnitude of firm revenue. The empirical results using the data of SMEs in Vietnam concretely support our theoretical model, social capital only facilitates the performance of firms between the quantile range from 14% to 98%. Finally, the thesis summarizes the role of social capital in the Vietnamese context. Besides the influence on firm performance, social capital also reveals certain effects with different indicators of quality of life including income, life satisfaction and health outcome. Dimensions of social capital, however, affects people’s life in different ways and the effects are not always positive."
2019LEMA1007,,"Bui, Tran Nu Thanh Viet (234641754)","Structure, Rheological Properties and Connectivity of Gels Formed by Carrageenan Extracted from Different Red Algae Species","Structure, Rheological Properties and Connectivity of Gels Formed by Carrageenan Extracted from Different Red Algae Species","Nicolai, Taco (125289677) || Renou, Frédéric (137297319) || Nguyen, Trong Bach (184447984)",Chimie et physico-chimie des polymères,28/02/2019,,Le Mans (026404435),LEMA,,"École doctorale Matière, Molécules Matériaux et Géosciences (Le Mans) (204761115)","Institut des Molécules et Matériaux du Mans (Le Mans ; 2012-....) (162394462), Institut des Molécules et des Matériaux du Mans / IMMM",,,,Gélification || Rhéologie || Carraghénanes || Vịnh Cam Ranh (Viet Nam ; baie) || Rhodophycophytes || Carraghénane || Rhéologie || Microstructure || Gel,Carrageenan || Rheology,en,star,soutenue,oui,"Carrageenan (Car) is a polysaccharide extracted from red algae and is widely used as thickener, stabilizer and gelling agent in various products. Properties of Car extracted from different algae species cultured at Cam Ranh Bay in Vietnam were characterized. Kappa car extracted from K. alvarezii and iota Car from E.denticulatum were selected to study the rheological properties and the microstructure of individual and mixed car solutions in presence of CaCl2 and KCl. Mixtures showed a two-step gelation process with gelation temperatures that coincided with those of corresponding individual kappa and iota Car solutions. However, the stiffness of the mixed gels was much higher than the sum of the corresponding individual gels. Confocal laser scanning microscopy and turbidity measurements showed that the kappa Car gel was always more heterogeneous than the iota Car gel, but less in the mixture than in the individual system. The results show that microphase separation of iota and kappa Car in mixed gels is highly unlikely.The mobility of Car chains in individual gels of kappa and iota Car and their mixtures was determined using fluorescence recovery after photobleaching. Slow recovery was observed for the gels showing that a fraction of the Car chains remained mobile. The fraction of mobile chains in the gels varied between 25% and 75% depending on the type of Car and the type and concentration of salt. The fraction of mobile chains in gels was not correlated to the gel stiffness. These results were confirmed by the release of Car from gel fragments into excess solvent. It was found that released Car chains were smaller than the average size of the initial Car sample."
2021LILUD005,,"Do, Van Anh (258961538)","La réglementation du capital et l'interdépendance du capital, des risques et de l'efficacité des banques","Capital regulation and the interconnectedness of bank capital, risk and efficiency in 5 asean countries","Statnik, Jean-Christophe (113177763)",Sciences de gestion,22/01/2021,,Université de Lille (2018-2021) (223446556),LILU,,"École doctorale des Sciences Juridiques, Politiques et de Gestion (Lille ; 1992-....) (050154788)",Lille School Management Research Center (225661802),,,,Association des nations de l'Asie du Sud-Est || Risque financier || Banques || Réglementation du capital || Capital bancaire || Risque || Efficacité || Asean,Capital regulation || Bank capital || Risk || Efficiency || Asean,fr,star,soutenue,non,"This thesis consists of three empirical studies examining the behaviors of banks in response to capital regulation and the nexus among capital, risk and efficiency of ASEAN banks. The first essay studies the impact of capital requirements on the simultaneous changes in bank capital and risk. The results establish that banks in ASEAN tend to increase their capital to absorb increase in risk.  Banks  with  weak  capitalization  can  hardly  increase  capital  and  expose  to  moral  hazard behaviors  since  capital  regulation  increase  their  risk  taking.  Highly  capitalized  banks  tend  to reduce risk whereas moderately capitalized institutions increase risk taking in response to capital requirements.  The  second  essay  examines  the  interrelationship  between  capital,  risk  and efficiency, considering the impact of ownership structure and stock listing. Efficiency enables banks to improve capital and stronger capitalization increases bank efficiency. Less efficient banks engage  in  moral  hazard  behavior  by  taking  more  risk.  Banks  with  state  ownership  are  less capitalized but more cost efficient. Stock listing represents market discipline helps improve bank capital but not efficiency. The last essay uses panel VAR analysis to investigate the dynamic inter-196temporal relationship among risk, capital and efficiency. The results provide evidence of strong positive response of efficiency to capital  shock, suggesting the importance of bank capital in improving bank efficiency. The analysis also yields bi-directional causal relationship between capital and credit risk. Behaviors are different for high and low efficiency banks"
2013PA066472,,"Nguyen Nhi Gia, Vinh (179478133)",Conception de modèles multi-échelles pour l’aide à la décision environnementale : application au contrôle des invasions de cicadelles brunes dans le Delta du Mékong (Vietnam),,"Drogoul, Alexis (050528041)",Informatique,01/01/2013,,Paris 6 (027787087),PA06,,,,,,,"Simulation par ordinateur || Écologie des cours d'eau || Méthodes de simulation || Informatique || Protection de l'environnement || Modèles biologiques || Insectes -- Écologie || Mékong, Delta du || Invasions biologiques",,fr,sudoc,soutenue,non,"In South-East Asia, the problem of controlling the invasions of rice pests is a major economical problem, which is tackled by multiple scientific disciplines and is dealt with by several decisional scales. This PhD thesis contribute to the researches undertaken since 40 years on the eradication (or at least the control) of the rice pest named Brown plant hopper (BPH) by proposing a design methodology of dynamically scaling models as a foundation for decision support systems dedicated to the assessment of regional and local control policies. It has been applied to and validated on different scenarios of BPH migrations in the Vietnamese Mekong Delta, where four different geographical and political levels have been coupled in the same framework (village, commune, province, and region), each of them represented with its own dynamics (social, biological, ecological ones) but also with its relationships with the other levels. The main contribution of this research is an agent-based multi-level modeling system that allows modelers to simulate and evaluate different control policies against invasions of the Brown plant hoppers at different scales of time and space. This system couples and organizes several sub-models with separate functions: growth and migration models of BPH that take ecological and environmental processes into account at different spatial and temporal scales, social models of the various stakeholders (from farmers to political deciders), models dedicated to the up- and downscaling processes occurring between the levels of representation"
2015BOR30001,,"Nguyen, Van Toan (187836949)",Développer une autonomisation guidée de l'apprenant en français sur objectifs spécifiques : vers un apprentissage fondé sur le Web (web based learning),Develop a guided learner empowerment in French for specific purposes : towards a web-based learning,"Portine, Henri (027079996)",Linguistique,23/02/2015,,Bordeaux 3 (027548392),BOR3,,"École doctorale Montaigne-Humanités (Pessac, Gironde ; 2007-....) (152831738)","Textes, littératures, écritures et modèles (Pessac, Gironde ; 2007-2021) (155965581)","Jaubert, Martine (121758613)","Galatanu, Olga (034868054) || Vinet, Dominique (068022514)","Portine, Henri (027079996) || Galatanu, Olga (034868054) || Vinet, Dominique (068022514) || Ollivier, Christian (059389001)",Guides touristiques et de visite || Discours (linguistique) || Guides touristiques (personnes) || Français langue étrangère || Formation en ligne || Autonomisation || Analyse de discours spécialisés || Activités discursives || FOS || Tourisme || Blended-learning || Web-based learning,Autonomisation || Specialized discourse analysis || Discursive activities || FOS || Tourism || Blended-learning || Web-based learning,fr,star,soutenue,oui,"This research lies at the intersection of four different areas: French for specific purposes; discourse analysis; learner autonomy and web based learning. We’ve collected a corpus which provided data for designing contextualized discursive activities exploiting the web (web-based learning : web as a communication tool, web as artifact integrated into the learning environment ) in the context of FOS for tourism. We chose to focus on the discursive activity because it allows us to answer two questions: - What should be taught / learned in a context of FOS for tourism ? - What are the characteristics of speech involved ? Our corpus comprises two printed travel guides on Vietnam (approximately 1000 pages) and oral discourse transcribed from records of tour guide speeches (about 10 hours in total). It is therefore both data mining in the corpus, the transfer of this data for applied linguistic and their direct reuse in the design of learning activities. The transfer is the application of the conclusions drawn from the analysis of the corpus for the development of discursive activities while the reuse of these data consists in extracting corpus elements to integrate them into discursive activities. To analyze the corpus, to structure and to program discursive activities, we used the XML and developed scripts for computer operations (analysis and learning activities ). Finally, our research leads to a didactic perspective. We recommend the discursive approach for the design of syllabus and discursive learning activities. We illustrate this approach with some learning activities. It should be noted that this is an exploratory study and not an experimental one."
2003GRE10222,,"Trinh, Anh Duc (076353184)",Étude de la qualité des eaux d'un hydrosystème fluvial urbain autour de Hanoi (Vietnam) : suivi expérimental et modélisation,"Study of water quality of a urban river hydrosystem in the periphery of Hanoi, Vietnam : experiments and modelling","Vachaud, Georges (076353389)","Océan, atmosphère, hydrologie",01/01/2003,,"Université Joseph Fourier (Grenoble, Isère, France ; 1971-2015) (026404796)",GRE1,,,,,,,,,en,sudoc,soutenue,non,
2006GRE10271,,"Nguyen, Ai Quoc (112609589)",Les apports d'une analyse didactique comparative de la résolution des équations du second degré dans l'enseignement secondaire au Viêt-Nam et en France,Contributions of a comparative didactic analysis of the resolution of the quadratic equations in secondary education in Vietnam and in France,"Chaachoua, Abdelhamid (088674800) || Le Thi, Hoai Chau (112609511) || Nicaud, Jean-François (032230109)",Didactique des mathématiques,01/01/2006,,"Université Joseph Fourier (Grenoble, Isère, France ; 1971-2015) (026404796)",GRE1,Université de Pédagogie de Ho Chi Minh ville (Vietnam),,,,,,Praxéologie || Didactique || Théorie du curriculum || Équations du second degré || Algèbre || Analyse comparative || Théorie anthropologique,,fr || vi,sudoc,soutenue,non,"This research presents a comparative didactic analysis on the teaching and the training of the algebra in the two educational systems: in France (grades Third, Second and First) and in Vietnam (grades 8, 9 and 10). The objective of this research is to study certain choices of the teaching of algebra, to identify certain institutional constraints and the effects of these constraints on the acquired knowledge of the pupils related to an object of knowledge ""the quadratic equations"". Ln the parts A and B, we place ourselves within the fTamework of the anthropological theory of didactic to study the institutional relation in position ofpupils to the object ""quadratic equation"" by making an analysis of the programs, officiaI texts and textbooks in the two institutions. This analysis allows us to characterize the existing praxeologies in the textbooks of each institution. Ln the part C, we present the results of a common experimentation in both institutions concerning the type of task T: ""Resolve, algebraically, a quadratic equation to an unknown"". We characterize the personal relation of the pupils to T by the determination of the techniques implemented and technologies which generate and justify them. Ln the part D, based on the results obtained in the three previous parts, we carry out a comparative analysis of the personal relations of the pupils to T, on which we have conducted our experimentation in the two institutions and we determine the impact of the various institutional choices on the personal relation of the se pupils. Last but not least, we present the major results gained in our research and the possibilities for further studies."
2003TOU20078,,"Fortunel, Frédéric (052589773)","L'Etat, les paysanneries et les cultures commerciales pérennes dans les plateaux du Centre Viêt Nam : l'autochtonie en quête de territoires","The state, the peasantries and the perennial cash crops in the central highlands of Vietnam, the indigeneity in search of territories","Weissberg, Daniel (05764232X) || Durand, Frédéric (033232393)",Géographie,01/01/2003,,Toulouse 2 (026403994),TOU2,,,,,,,Minorités || Autochtones -- Politique publique || Commercialisation des produits || Plantes || Viet-Nam (République) || Paysannerie,,fr,sudoc,soutenue,non,"This thesis analyses the conversion mechanisms of the territorial belongings.  In regard of the hypothesis that the durable cash crops' plantation favours human rooting, the theoretical principles and non-native practices incorporated to a territory and to indigenous people are studied in Viet Nam highlands. Imported by the colonial power, the coffee tree anchored in this territory, leads not only to the loss of symbolical landmarks and to the loss of native farmer materials but also to the political and economical appropriation of these areas.  The Vietnamese State, concerned by the control of these restive areas towards the majority national people, has favoured since its independency the arrival and the anchoring of non-natives who are henceforth the majority in the country.  Farming and the changes of representations take a role in the redefinition of the territorial belongings but at the expenses of environmental damages and of a deep social and economical crisis."
2010EPHE5005,,"Nguyễn, Kim Hiền (179375555)",La dimension psycho-spirituelle chez des cadres-fonctionnaires durant les vingt dernières années au nord du Vietnam (1986-2006),The psycho-spiritual dimension of public servants in Vietnam in the past twenty years (1986-2006),"Baubérot, Jean (026709392)",Sciences religieuses,01/01/2010,,"Paris, EPHE (026375478)",EPHE,,,École pratique des hautes études. Section des sciences religieuses (Paris) (026375508),,,,Vietnam || Histoire religieuse || Politique et gouvernement -- Vietnam,,fr,sudoc,soutenue,non,"The formation of a ""psycho-spiritual universe"" among some public servants and cadres emerged as a major reality during the great transformation of Vietnamese society in the 1980s. At first, this new formation seemd to be a constellation of responses to existencial crises of some members of thus stratum. Since the mid-1990s, however, some political actors have begun to see it as a solution to the moral crisis at the national level. Bew forms of symbolic representation and socio-religious modes of individualization have taken shape in the new public spaces built in the fringes of the dominant official political discourse, where the psycho-spiritual universe is most active. The practice of magic has attracted mass followers, and parts of the ruling elite consider its authentification as a possible way to overcome state atheism and totalitarian heritage, without having to go through a radical ideological rupture. The legitimatization of magic, therefore, creates an epicentre of a new game that contains a variety of trends ranging from upholding the orthodox ideology, supporting a popularization of magic, to promoting an alternative secularity. In attempt to manage the unprecedented yet constrained proliferation of magic in a single-party regime, some groups of public servants actively engage themselves in its practice, while trying to assert themselves as leaders of the game. The question is wether their practice represents a prelude to pluralism and democratization or, conversely, the emergence of a new orthodoxy, the core of which rests in the Communist totalitarian religion, which in turn remains largely intact ?"
2021LEMA2001,,"Le, Thi Hai Yen (261168673)",Understand how and why consumers perceive and react to CSR in an Asian country : the case of Vietnam,Understand how and why consumers perceive and react to CSR in an Asian country : the case of Vietnam,"Fleck-Dousteyssier, Nathalie (105204560)",Marketing,15/12/2021,,Le Mans (026404435),LEMA,,École doctorale Sciences économiques et sciences de gestion (Rennes) (204771242),"ARGUMans (Le Mans) (244898294), Laboratoire de recherche en gestion Le Mans Université / ARGUMans",,"Ambroise, Laure (097698768) || Urien, Bertrand (150151977)","Fleck-Dousteyssier, Nathalie (105204560) || Ambroise, Laure (097698768) || Urien, Bertrand (150151977) || Ferrandi, Jean-Marc (146534557) || Lecompte, Agnès (097515566)",Industries agroalimentaires || Produits cosmétiques -- Industrie et commerce || Valeurs (philosophie) || Qualité des produits || Comportement des consommateurs || Vietnam || Responsabilité sociétale || RSE || Valeurs vertes || Pleine conscience || Simplicité volontaire || Habituation || Connexion à la nature || L'anxiété de mort || Locus de contrôle interne,CSR || Green values || Mindfulness || Voluntary simplicity || Habituation || Connectedness to nature || Death anxiety || Internal locus-of-control,en,star,soutenue,oui,"Considered as a universal concept, corporate social responsibility (CSR) was actually originated from occidental perspective, making it inadequate to be imposed globally. The CSR perceived by consumers might be divergent in oriental context. Aiming to expand the understandings of consumer perceptions and their responses to CSR in oriental context, we therefore conducted our studies in Vietnam. We first conducted a qualitative study to explore CSR insights of consumers and built a Five Personas typology of consumers. Then, two scenario-based experiments in food sector and cosmetics & skincare sector allowed to test consumer reactions to CSR. The second experiment was integrated in a larger data collection used to form a structural equation model, explaining the psychological mechanisms behind consumer responses. Our findings reveal that CSR has a real impact on consumer evaluations of firm and products, whereas country-of-origin and production process turned out to have no significant impact. Given no cue on quality control, consumers still form their evaluations on product quality, which makes perceived product quality the mediator between the firm engagement in CSR and consumer responses toward the firm (brand attitude, purchase and recommendation intention). We found that consumption habituation and perceived firm motives toward CSR moderate this relationship while CSR skepticism is the mediator. Beneath the surface, some individual constructs can explain the mechanisms. We highlight consumer green values, playing the moderating role between firm green engagement and perceived product quality. Five constructs form green values including mindfulness, voluntary simplicity, internal locus-of-control, connectedness to nature, and death anxiety. We hope to expand the understandings of how consumers perceive and react towards CSR in oriental context that might be more sophisticated than the appearances."
2003ROUEL451,,"Nguyên, Thi Uyên (077366964)",Polysémie des images et pluralité des lectures : l'enseignement/apprentissage de l'image en classe de français langue étrangère au Vietnam,Polisimy of pictures and plurality of readings : teaching/learning of the picture in the class of French as a foreign language in Vietnam,"Lane, Philippe (028737350)",Sciences du langage,01/01/2003,,Rouen (026403919),ROUE,,,,,,,Illustrations -- Interprétation || Communication visuelle || Communication interculturelle || Vietnam || Enseignement audiovisuel || Français (langue),,fr,sudoc,soutenue,non,"Beneath its analogical appearance, the visual image is an enunciation as a whole. By way of its formal organisation, the sign-image or picture is presented as a spacial unit within which a variety of constituant signs interact. The instability of the constituants of the picture is due to the non-compatibility within the meaning anticipated by the conceptor, the meaning suggested by the picture and the meaning construed by the receivant. This non-compatibility brings out the origin of various difficulties in reading foreign pictures and its divergent interpretations. With biais to an intensive intellectual training and a positive orientation towards alterity, the teaching of foreign language imagery is a pedagogy at risk insisting on managing the unforeseen."
2013CLF10423,,"Le Duc, Thuy (183382358)",L'impact des connaissances en technologie d'information des dirigeants sur le succès du système d'information des PME : une étude empirique au Vietnam,,"Vézina, Michel (050696408)",Sciences de gestion,08/02/2013,,Clermont-Ferrand 1 (028032829),CLF1,,"École doctorale des sciences économiques, juridiques, politiques et de gestion (Clermont-Ferrand) (035295368)",Clermont Recherche Management (202439569),,"Mard, Yves (071404724) || Blanc, François (029201985)","Mard, Yves (071404724) || Blanc, François (029201985) || Féniès, Pierre (112114938) || Alaoui, Abdallah (097116297)",Petites et moyennes entreprises || Gestion d'entreprise || Technologies de l'information et de la communication || Succès du SI || PME || Connaissance en TI des dirigeants || Théorie des ressources || Microfondation || Modèle d’acceptation de la technologie,IS success || SME || IT knowledge of managers || Resource-based theory || Microfondation || Technology acceptance model,fr,star,soutenue,non,"Several studies have investigated the success factors of IS in the context of SMEs. But managers are struggling to use these results because of the large number of factors and of contradictory results of their impact on the organization. In the framework of resource-based theory and technology acceptance model, and taking into account the specific context of SMEs, we construct a theoretical model of IS success by building on the IT knowledge factor of managers. This model is empirically tested on a sample of 123 SMEs, which are identified by a survey conducted in Hanoi and its surroundings. The result shows that the strategic IT knowledge, access to IT knowledge and management of IT knowledge have a positive impact on IS success of SMEs. More specifically, the strategic IT knowledge has a direct impact on the IS success, while subjective norm and perceived ease of use totally convey the impact of IT knowledge management and access to IT knowledge."
1999ROUEL319,,"Nguyen Xuan, Ngoc Huyen (24433742X)",L'enseignement du sens étranger : regards sur l'enseignement de la compréhension écrite à un public de futurs enseignants de français au Vietnam,The teaching of foreign meaning. Considerations upon the teaching of reading comprehension to a public of future teachers in Vietnam,"Cortès, Jacques (026800101)",Linguistique,01/01/1998,,Rouen (026403919),ROUE,,,,,,,Enseignement du français || Vietnam || Formation || Professeurs de français || Lecture || Compréhension || Langues vivantes,,fr,sudoc,soutenue,non,"Reading comprehension, upon which this work is based, deals with the problem of transference of foreign meaning through texts. From a communicative approach, the meaning that is to be taught is the result of the interaction between language and several elements such as society, culture and communication. It concerns the fields of linguistics, psychology and pragmatics. The didactology of languages and cultures reflects the mingling of various methods in the field of teaching foreign languages. It recognizes interdisciplinary subjects and the multeity of the learners in order to reinforce a methodology which is adapted to each learner. We can find the concrete application of those principles in the study of the teaching of reading methods to a Vietnamese public of future teachers of the French language."
2000ROUEL392,,"Nguyen Thi, Ngoc Suong (24176887X)",Cohérence dans le discours économique. Description et perspectives didactiques au Vietnam : le cas du papier d'analyse de la presse écrite,,"Cortès, Jacques (026800101)",Linguistique,01/01/2000,,Rouen (026403919),ROUE,,,,,,,Discours (linguistique) || Étude et enseignement || Français des affaires || Français langue étrangère || Vietnam || Français (langue),,fr,sudoc,soutenue,non,
2003ENSA0001,,"Dao, Tme Anh (113965486)",Réformes socio-économiques et adaptation des choix d'activité des ménages ruraux dans le delta du Fleuve Rouge au Vietnam,Socio-economic reform and activity choice adaptation of rural household in the Red River delta in Vietnam,"Benoit-Cattin, Michel (028304217)",Agro-économie,01/01/2003,,"Montpellier, ENSA (026523477)",ENSA,,,,,,,"Vietnam || Fleuve rouge, Delta du (Viet-Nam) || Systèmes de culture || Agriculture -- Aspect économique || Transition systémique || Économie de marché || Typlogie des ménages || Menages ruraux",,fr,sudoc,soutenue,non,
2005ENSA0004,,"Stévoux, Véronique (115276114)",Impact de l'utilisation de plantes de couverture sur les mauvaises herbes et leur gestion en culture de riz pluvial au nord Vietnam,Impact of cropping systems based on the use of cover crop on weed communities and weed managment in upland rice cultivated in Northern Vietnam,"Maillet, Jacques (084179678)",Agronomie. Biologie des populations et écologie,01/01/2005,,"Montpellier, ENSA (026523477)",ENSA,,,,,,,Viet-Nam (République démocratique ; 1954-1976) || Riz pluvial || Paillage || Plantes adventices || Plantes de couverture,,fr,sudoc,soutenue,non,"This work aimed to evaluate the impact of cropping systems based on the use of cover crop and mulch on weed community and weed management in upland rice cultivated on sloping land. Phytoecological study was carried out in order to characterized weed flora encountered in maize and upland rice fields. Panicum maximum, Brachiaria brizantha, Brachiaria ruziziensis, Stylosanthes guianensis, Cassia rotundifolia and Mucuna pruriens were evaluated in termsof canopy characteristics (ground cover and height) and weed control. Brachiaria ruziziensis was then integrated in upland rice cropping system ten or three months before rice. The residual effects of cover crop duration, mulch application and their interaction were evaluated on weed cover and species richness. Increasing mulch quantities (1, 2 and 3 Uha dry matter) were also evaluated. In order to characterize phenological cycle and germination capacities of Borreria alata, a troublesome weed, field survey and laboratory experiments were carried out. Rice weed flora is mainly composed of local perennials species and annuals exotics species with a pantropical distribution. Time in the cropping season, soil type and slope position were the main agroecological factors. Among cover crops, grasses showed the most important ground cover and consequently the fewer weed cover. Grasses mulch degradation was slower than legumes. Rice sown after Brachiaria ruziziensis showed a higher level of weed infestation than a monocrop rice/rice. Mulch application provided limitation of weed cover during the first part of the cropping season. Weed cover and weed species number decreased with the increased of mulch quantity. During these experiments, we found no major evolution on weed flora composition after one year of cropping systems. Phenological survey showed that Borreria alata exhibited a high amount of emergence at the beginning of the rainy season followed by a vegetative phase of five months. B. A/ata showed a high level of germination (70%) which was influenced by temperatures and light conditions (less under darkness). In regard of our results, we didn't find short term effects of the use of cover crop and mulch on weed management and upland rice production."
2016TOU20103,,"Doan, Ngoc Tu (234019026)",Le patrimoine bâti dans les villages de la minorité Jarai : le cas des deux villages de Pleikep et de Pleiop à Pleiku au Vietnam,"The built heritage in the minority villages Jaraï : the case of two villages Pleikep and Pleiop in Pleiku, Vietnam","Weissberg, Daniel (05764232X)",Géographie et aménagement,15/11/2016,,Toulouse 2 (026403994),TOU2,,"École doctorale Temps, Espaces, Sociétés, Cultures (Toulouse) (147991455)","Laboratoire interdisciplinaire Solidarités, sociétés, territoires (Toulouse) (134117360), Laboratoire de recherche en architecture (Toulouse) (163975698)","Bonneaud, Frédéric (078042445)","Decoudras, Pierre-Marie (032321856) || Lancret, Nathalie (035521058)","Weissberg, Daniel (05764232X) || Decoudras, Pierre-Marie (032321856) || Lancret, Nathalie (035521058) || Goze, Maurice (059833726) || Fernandez, Pierre (033597731)",Relations villes-campagnes || Gia Lai (Viet-Nam ; province) || Vietnam || Urbanisation || Moeurs et coutumes || Jaraï (peuple d'Asie du Sud-Est) || Buôn || Bản || Làng || Pleiku ville || Urbanisme || Fêtes jaraï || Patrimoine villageois,Buôn || Bản || Làng || Pleiku city || Urbanism || Festivals Jarai || Heritage village,fr,star,soutenue,oui,"Throughout its history, the villages have played an important role in the society of minority Jaraï. During the long history of urban development of the highlands in the north of Tay Nguyen, the relationship between the city and the villages was involved in creating the characteristics of the plateau. This is an organized relationship which was created and adapted for each specific village.The very important role of villages is to preserve traditional values in the master-plans of each period in general. Then, the villages were presented as elements of the urban structure. In particular, the following master-plans: «General Plan for Pleiku – 2020 with a vision for further development to 2050», the existing  villages presented in this project are given in the legend as « villages to maintain in the urban development » and are considered as driving elements in the urbanization of their nearby environment.However, in many master-plans, the villages have not been called “Respect” or have completely disappeared in the project area. In particular, in the process of achieving expansion of the city, the villages have not been presented in almost no urban extension large projects. This position has indirectly created conflicts in the process of connecting villages in Pleiku.The research begins with an analysis of existing texts to draw a theoretical framework for understanding the identification of elements of the characters of villages through research of traditional design of Jaraï minorities in the province of Tay Nguyen of Vietnam and its study of the heritage design and analysis of texts and reports concerning the different types of development of minorities. By analyzing the socio-cultural structure and the spatial structure of villages, the villagers’        heritage elements will be characterized with a based on the specificities of each village. The second part aims to evaluate the transformation of the village heritage in the face of urbanization with the case of the village Pleiku. The logic in the relationship between morphological transformation and spatial transformation is analyzed to illuminate the permanence and the break of the elements of villagers’ heritage.This research is used to describe the management of the villagers’ heritage, by analyzing the mechanisms, the coordination of actors, the conservation regulations established by the state and the village, and above all the way these regulations in the villages are enforced in the village."
